"doctor","num_visit"
"Michael Smith","24"
"John Smith","21"
"Michael Johnson","19"
"David Smith","18"
"Robert Smith","18"
"Michael Williams","17"
"Robert Johnson","17"
"James Smith","17"
"Christopher Smith","16"
"Matthew Smith","16"
"Jennifer Johnson","15"
"John Johnson","15"
"William Johnson","15"
"David Johnson","14"
"Anthony Smith","14"
"Elizabeth Smith","14"
"Michael Brown","14"
"Daniel Smith","14"
"Christopher Brown","13"
"Michael Davis","12"
"Eric Johnson","12"
"Lisa Smith","12"
"Jennifer Jones","11"
"James Brown","11"
"James Johnson","11"
"David Jones","11"
"Jessica Johnson","11"
"Mary Smith","11"
"Christopher Williams","11"
"Jennifer Hernandez","11"
"William Miller","11"
"Jessica Smith","10"
"Christopher Davis","10"
"John Jones","10"
"Jennifer Smith","10"
"Andrew Williams","10"
"David Williams","10"
"Richard Smith","10"
"Rachel Smith","9"
"Christopher Johnson","9"
"Lisa Williams","9"
"Rebecca Smith","9"
"Joshua Smith","9"
"Robert Jones","9"
"Daniel Brown","9"
"Mark Johnson","9"
"Jessica Miller","9"
"Mark Brown","9"
"Michael Rodriguez","9"
"Jennifer Garcia","9"
"Daniel Johnson","9"
"Daniel Jones","9"
"Lisa Jones","9"
"John Williams","9"
"Ashley Johnson","9"
"Michelle Brown","9"
"William Smith","9"
"Daniel Williams","9"
"Heather Smith","9"
"Mary Brown","9"
"Michael Martin","9"
"Heather Williams","8"
"Michael Thomas","8"
"John Martin","8"
"James Wilson","8"
"Melissa Smith","8"
"Tammy Smith","8"
"Amanda Smith","8"
"Christopher Rodriguez","8"
"Charles Johnson","8"
"Michael Wilson","8"
"Michael Jones","8"
"Jennifer Martin","8"
"Megan Smith","8"
"Sarah Johnson","8"
"James Williams","8"
"Michael Taylor","8"
"Joseph Jones","8"
"Lisa Brown","8"
"Michael Anderson","8"
"Amy Smith","8"
"Jennifer Williams","8"
"Christopher Miller","8"
"Brian Smith","8"
"Matthew Brown","8"
"Jennifer King","8"
"Mark Smith","8"
"Thomas Johnson","7"
"David Martinez","7"
"Jennifer Davis","7"
"David Miller","7"
"Robert Miller","7"
"Michael Harris","7"
"Matthew Williams","7"
"Robert Williams","7"
"James Miller","7"
"Joseph Johnson","7"
"Michael Evans","7"
"Christopher Anderson","7"
"Brian Davis","7"
"Stephanie Smith","7"
"Michael Hall","7"
"Joseph Smith","7"
"John King","7"
"Stephanie Williams","7"
"Robert Taylor","7"
"David Allen","7"
"Michael Perez","7"
"Michael Martinez","7"
"Kelly Smith","7"
"Cynthia Johnson","7"
"Kevin Brown","7"
"Laura Brown","7"
"David Thomas","7"
"Sarah Williams","7"
"David Sanchez","7"
"James Davis","7"
"Daniel Miller","7"
"Patricia Smith","7"
"David Lee","7"
"Amy Martin","7"
"Julie Smith","7"
"Michael Gonzalez","7"
"James Lopez","7"
"Patrick Johnson","7"
"Elizabeth Miller","7"
"Brian Rodriguez","7"
"John Moore","7"
"Brian Brown","7"
"Kimberly Williams","7"
"David Lopez","7"
"David Brown","7"
"Amanda Williams","7"
"Thomas Williams","7"
"Jennifer Jackson","7"
"Andrew Smith","7"
"Jessica Jones","7"
"John Martinez","6"
"Christopher Garcia","6"
