"doctor","unique_condition_count"
"David Johnson","6"
"Robert Johnson","6"
"James Smith","6"
"Daniel Jones","6"
"Jennifer Johnson","6"
"Lisa Smith","6"
"Michael Thomas","6"
"John King","6"
"William Smith","6"
"Joseph Jones","6"
"William Johnson","6"
"Michael Brown","6"
"Michael Anderson","6"
"Christopher Johnson","6"
"Michael Williams","6"
"Jennifer Hernandez","6"
"Christopher Smith","6"
"Matthew Smith","6"
"Christopher Rodriguez","6"
"Laura Brown","6"
"Michael Johnson","6"
"Rachel Smith","6"
"Michael Rodriguez","6"
"James Johnson","6"
"James Brown","6"
"Michael Smith","6"
"John Smith","6"
"David Smith","6"
"Robert Smith","6"
"Mary Smith","6"
"Anthony Smith","6"
"James Wilson","6"
"Brandon Johnson","5"
"Kimberly Anderson","5"
"Jennifer Martin","5"
"James Lopez","5"
"Michael Martin","5"
"David Brown","5"
"Jessica Johnson","5"
"Julie Smith","5"
"Amanda Smith","5"
"Michael Martinez","5"
"John Hernandez","5"
"Anthony Jones","5"
"Mary Anderson","5"
"John Jones","5"
"Amy Smith","5"
"Thomas Johnson","5"
"William Miller","5"
"David Sanchez","5"
"Robert Taylor","5"
"David Martin","5"
"Justin Johnson","5"
"Mark Martinez","5"
"Robin Smith","5"
"Jennifer Harris","5"
"Jennifer Smith","5"
"Heather Smith","5"
"Christopher Davis","5"
"Jennifer Jones","5"
"John Garcia","5"
"Michael Davis","5"
"Kimberly Williams","5"
"Elizabeth Smith","5"
"David Jones","5"
"Christine Smith","5"
"Robert Ramirez","5"
"David Lee","5"
"Zachary Smith","5"
"Melissa Smith","5"
"Christopher Ross","5"
"Megan Smith","5"
"Christopher Brown","5"
"Jonathan Miller","5"
"John Williams","5"
"Kevin Jackson","5"
"James Jones","5"
"Tammy Smith","5"
"Michelle Brown","5"
"James Williams","5"
"John Gonzalez","5"
"Nicole Wilson","5"
"Mark Johnson","5"
"Cynthia Johnson","5"
"David Williams","5"
"Christopher Williams","5"
"Michael Perez","5"
"Christopher Miller","5"
"Eric Rodriguez","5"
"Charles Johnson","5"
"Michael Jones","5"
"Kevin Moore","5"
"Michael Gonzalez","5"
"Daniel Smith","5"
"Christopher Sanchez","5"
"Jennifer Miller","5"
"Jessica Smith","5"
"Patricia Smith","5"
"Kimberly Smith","5"
"Joseph Johnson","5"
"Mark Brown","5"
"Kevin Jones","5"
"Richard Smith","5"
"Matthew Harris","5"
"John Brown","5"
"David Edwards","5"
"Jessica Jones","5"
"Anthony Thomas","5"
"Kevin Brown","5"
"Eric Johnson","5"
"Joshua Smith","5"
"Jennifer Brown","5"
"Adam Smith","5"
"Jennifer Williams","5"
"John Johnson","5"
"Mary Brown","5"
"Patrick Johnson","5"
"Jennifer Garcia","5"
"Sarah Williams","5"
"Robert Jones","5"
